"","Accession name","CUAL","LNGS","PTLC","DSTA","LFRT","LBTEF","CBTR","NMLB","ANGB","CUAL9M","LVC9M","TNPR9M","PL9M","STRP","STRC","PSTR","NMSR","TTRN","TFWSR","TTRW","TFWSS","TTSW","TTPW","AVPW","ARSR","SRDM"
"TMe-41","TMe-41","Light green","Short","Light green","Absent","25-50% leaf retention","2","White","2","150-300","Dark green","Light green","5","Medium (15-20cm)","Intermediate","Present","Irregular",6,3,1.4,0.7,1,0.5,2.4,1.2,2,42
"TMe-123","TMe-123","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Dark green","Green purple","5","Medium (15-20cm)","Long","Present","Tending toward horizontal",2,0.5,2.6,0.65,2.8,0.7,5.4,1.35,0,39.8
"TMe-150","TMe-150","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","1","White","1","150-300","Green purple","Green purple","4","Long (25-30cm)","Absent","Absent","Tending toward horizontal",6,3,1.2,0.6,2.8,1.4,4,2,2,29.7
"TMe-206","TMe-206","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Purple","Green purple","2","Long (25-30cm)","Absent","Present","Tending toward horizontal",2,2,1.6,1.6,2.4,2.4,4,4,0,43
"TMe-353","TMe-353","Green purple","Medium","Purple","Totally pigmented","<100% leaf retention","3","Cream","3","450-600","Green purple","Green purple","5","Long (25-30cm)","Absent","Absent","Irregular",20,5,5,1.25,16,4,21,5.25,3,37.9
"TMe-378","TMe-378","Green purple","Medium","Red","Totally pigmented","50-75% leaf retention","4","White","3","450-600","Green purple","Dark green","4","Long (25-30cm)","Absent","Absent","Tending toward horizontal",13,3.25,7,1.75,12,3,19,4.75,0,37
"TMe-386","TMe-386","Purple","Medium","Purple","Totally pigmented","50-75% leaf retention","3","Cream","3","450-600","Purple","Green purple","2","Long (25-30cm)","Short","Present","Tending toward horizontal",4,1,4.2,1.05,9,2.25,13.2,3.3,0,38.9
"TMe-436","TMe-436","Green purple","Long","Green purple","Top part","50-75% leaf retention","3","Cream","2","150-300","Purple","Dark green","5","Long (25-30cm)","Absent","Absent","Tending toward horizontal",14,4.66666666666667,2.8,0.933333333333333,4.4,1.46666666666667,7.2,2.4,6,36.9
"TMe-447","TMe-447","Green purple","Long","Green purple","Central part","50-75% leaf retention","2","Cream","2","450-600","Purple","Light green","5","Medium (15-20cm)","Absent","Absent","Irregular",10,2,2.8,0.56,6.2,1.24,9,1.8,0,41
"TMe-540","TMe-540","Dark green","Long","Red","Totally pigmented","50-75% leaf retention","1","Cream","3","450-600","Light green","Green purple","5","Medium (15-20cm)","Short","Present","Tending toward horizontal",5,1.25,4,1,5,1.25,9,2.25,0,37.9
"TMe-550","TMe-550","Green purple","Medium","Green purple","Top part","<100% leaf retention","4","Cream","3","450-600","Purple","Green purple","2","Long (25-30cm)","Absent","Absent","Tending toward horizontal",1,1,0.4,0.4,0.6,0.6,1,1,0,33.9
"TMe-589","TMe-589","Green purple","Medium","Green purple","Central part","25-50% leaf retention","0","White","0","No branching","Green purple","Dark green","2","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",2,1,0.6,0.3,0.4,0.2,1,0.5,0,40
"TMe-603","TMe-603","Green purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","2","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Present","Irregular",24,4.8,38,7.6,42,8.4,80,16,3,40.7
"TMe-667","TMe-667","Green purple","Long","Green purple","Central part","25-50% leaf retention","1","White","1","450-600","Purple","Dark green","1","Long (25-30cm)","Absent","Absent","Tending toward horizontal",5,5,1.8,1.8,4.2,4.2,6,6,0,36.8
"TMe-725","TMe-725","Green purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","5","750-900","Green purple","Light green","5","Medium (15-20cm)","Absent","Present","Tending toward horizontal",18,6,11,3.66666666666667,21,7,32,10.6666666666667,2,23.9
"TMe-766","TMe-766","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","1","Cream","2","450-600","Dark green","Purple","2","Long (25-30cm)","Absent","Absent","Irregular",9,3,5,1.66666666666667,12,4,17,5.66666666666667,0,38.2
"TMe-778","TMe-778","Dark green","Long","Green purple","Central part","50-75% leaf retention","1","White","2","150-300","Light green","Green purple","3","Long (25-30cm)","Short","Absent","Irregular",8,2,4,1,5.2,1.3,9.2,2.3,0,29.7
"TMe-815","TMe-815","Green purple","Medium","Green purple","Central part","25-50% leaf retention","2","White","3","750-900","Dark green","Dark green","1","Long (25-30cm)","Short","Absent","Tending toward horizontal",1,1,12,12,3,3,15,15,0,44.3
"TMe-828","TMe-828","Purple","Medium","Green purple","Central part","25-50% leaf retention","3","Cream","3","750-900","Purple","Dark green","3","Long (25-30cm)","Absent","Absent","Irregular",14,3.5,3,0.75,6,1.5,9,2.25,3,43.1
"TMe-919","TMe-919","Green purple","Short","Purple","Totally pigmented","<100% leaf retention","2","White","2","450-600","Dark green","Green purple","3","Long (25-30cm)","Short","Present","Tending toward horizontal",16,5.33333333333333,6.8,2.26666666666667,15.2,5.06666666666667,22,7.33333333333333,0,38.7
"TMe-945","TMe-945","Purple","Long","Green purple","Top and bottom","50-75% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",17,3.4,6,1.2,10.4,2.08,16.4,3.28,0,34.3
"TMe-1137","TMe-1137","Purple","Long","Green purple","Central part","<100% leaf retention","0","Cream","0","No branching","Purple","Dark green","4","Long (25-30cm)","Absent","Present","Tending toward horizontal",14,4.66666666666667,12.4,4.13333333333333,18.4,6.13333333333333,30.8,10.2666666666667,1,37.2
"TMe-1297","TMe-1297","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","2","Cream","2","150-300","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",17,4.25,3.6,0.9,7.6,1.9,11.2,2.8,1,22.2
"TMe-1390","TMe-1390","Green purple","Medium","Green purple","Central part","50-75% leaf retention","1","Cream","1","150-300","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Irregular",25,6.25,5,1.25,8.2,2.05,13.2,3.3,3,35.6
"TMe-1404","TMe-1404","Green purple","Medium","Green purple","Central part","50-75% leaf retention","2","White","4","450-600","Purple","Light green","1","Medium (15-20cm)","Short","Present","Irregular",7,7,2.4,2.4,6.8,6.8,9.2,9.2,1,39.6
"TMe-1484","TMe-1484","Dark green","Medium","Green purple","Central part","50-75% leaf retention","0","Cream","0","No branching","Dark green","Dark green","3","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",7,3.5,2.2,1.1,0.6,0.3,2.8,1.4,6,39.4
"TMe-1526","TMe-1526","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","0","Cream","1","150-300","Dark green","Green purple","2","Medium (15-20cm)","Short","Absent","Irregular",1,0.5,0.2,0.1,0.2,0.1,0.4,0.2,0,36.8
"TMe-1564","TMe-1564","Green purple","Short","Red","Absent","25-50% leaf retention","1","White","3","150-300","Green purple","Dark green","2","Medium (15-20cm)","Short","Absent","Tending toward horizontal",1,1,0.6,0.6,0.6,0.6,1.2,1.2,0,34
"TMe-1730","TMe-1730","Purple","Medium","Green purple","Central part","50-75% leaf retention","2","White","3","450-600","Purple","Dark green","4","Long (25-30cm)","Absent","Present","Irregular",24,8,18.4,6.13333333333333,26,8.66666666666667,44.4,14.8,2,34.7
"TMe-1775","TMe-1775","Purple","Medium","Red","Absent","25-50% leaf retention","2","Cream","3","450-600","Purple","Dark green","4","Medium (15-20cm)","Intermediate","Absent","Tending toward horizontal",8,2.66666666666667,1,0.333333333333333,2,0.666666666666667,3,1,0,41.2
"TMe-1795","TMe-1795","Green purple","Medium","Green purple","Central part","25-50% leaf retention","0","Cream","0","No branching","Dark green","Green purple","5","Long (25-30cm)","Absent","Absent","Tending toward horizontal",5,1.25,2.2,0.55,5,1.25,7.2,1.8,0,42
"TMe-1804","TMe-1804","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","0","Cream","0","No branching","Purple","Green purple","5","Long (25-30cm)","Intermediate","Present","Irregular",13,3.25,7,1.75,12,3,19,4.75,0,27.3
"TMe-1823","TMe-1823","Green purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","2","450-600","Purple","Green purple","5","Medium (15-20cm)","Short","Present","Tending toward horizontal",11,2.75,4,1,8,2,12,3,2,41.1
"TMe-1836","TMe-1836","Dark green","Medium","Purple","Totally pigmented","50-75% leaf retention","0","Cream","0","No branching","Dark green","Green purple","3","Long (25-30cm)","Short","Present","Tending toward horizontal",14,4.66666666666667,2.8,0.933333333333333,5.2,1.73333333333333,8,2.66666666666667,0,36.2
"TMe-1901","TMe-1901","Purple","Medium","Green purple","Top part","50-75% leaf retention","2","Cream","2","450-600","Purple","Dark green","3","Medium (15-20cm)","Short","Present","Tending toward horizontal",8,4,4.6,2.3,6,3,10.6,5.3,2,40.2
"TMe-1960","TMe-1960","Green purple","Medium","Green purple","Top part","50-75% leaf retention","1","Yellow","1","150-300","Dark green","Dark green","3","Medium (15-20cm)","Short","Absent","Tending toward horizontal",2,1,4,2,3.8,1.9,7.8,3.9,0,34.7
"TMe-2010","TMe-2010","Dark green","Medium","Green purple","Central part","50-75% leaf retention","5","Cream","8","450-600","Dark green","Green purple","2","Long (25-30cm)","Long","Present","Tending toward horizontal",4,2,11.2,5.6,6.2,3.1,17.4,8.7,0,35.4
"TMe-2027","TMe-2027","Purple","Medium","Green purple","Top and bottom","25-50% leaf retention","0","Cream","1","150-300","Purple","Dark green","2","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",4,2,12,6,2,1,14,7,2,41.6
"TMe-2033","TMe-2033","Purple","Medium","Light green","Absent","50-75% leaf retention","0","Cream","0","No branching","Dark green","Green","5","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",20,4,8.4,1.68,2.8,0.56,11.2,2.24,5,35.4
"TMe-2043","TMe-2043","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","4","Cream","3","450-600","Dark green","Green purple","4","Medium (15-20cm)","Intermediate","Absent","Irregular",36,7.2,15.2,3.04,20.2,4.04,35.4,7.08,5,38.8
"TMe-2050","TMe-2050","Purple","Medium","Green purple","Top part","25-50% leaf retention","4","Cream","5","450-600","Purple","Dark green","2","Long (25-30cm)","Absent","Present","Tending toward horizontal",13,6.5,18,9,18.4,9.2,36.4,18.2,5,41.1
"TMe-2064","TMe-2064","Purple","Long","Light green","Absent","50-75% leaf retention","3","Cream","4","750-900","Green purple","Dark green","5","Medium (15-20cm)","Short","Absent","Irregular",21,5.25,10,2.5,8,2,18,4.5,5,39.4
"TMe-2069","TMe-2069","Purple","Long","Red","Absent","50-75% leaf retention","4","Cream","5","150-300","Purple","Dark green","4","Medium (15-20cm)","Absent","Present","Tending toward horizontal",16,5.33333333333333,5.2,1.73333333333333,10,3.33333333333333,15.2,5.06666666666667,3,36
"TMe-2084","TMe-2084","Green purple","Medium","Green purple","Central part","50-75% leaf retention","0","Cream","0","No branching","Green purple","Green purple","5","Long (25-30cm)","Short","Present","Tending toward horizontal",18,3.6,8.8,1.76,14,2.8,22.8,4.56,3,39.9
"TMe-2103","TMe-2103","Dark green","Medium","Green purple","Central part","50-75% leaf retention","1","Cream","2","150-300","Dark green","Green purple","5","Long (25-30cm)","Intermediate","Absent","Tending toward horizontal",25,5,9.2,1.84,13.2,2.64,22.4,4.48,2,39.9
"TMe-2128","TMe-2128","Green purple","Long","Green purple","Top part","<100% leaf retention","0","White","0","No branching","Purple","Dark green","5","Long (25-30cm)","Absent","Present","Irregular",25,6.25,4.8,1.2,4.6,1.15,9.4,2.35,8,37.2
"TMe-2158","TMe-2158","Purple","Medium","Purple","Totally pigmented","25-50% leaf retention","0","Cream","0","No branching","Green purple","Green purple","2","Medium (15-20cm)","Short","Absent","Tending toward horizontal",2,2,0.8,0.8,1.5,1.5,2.3,2.3,0,41.3
"TMe-2172","TMe-2172","Dark green","Medium","Purple","Totally pigmented","25-50% leaf retention","1","Cream","1","150-300","Light green","Green purple","3","Medium (15-20cm)","Short","Absent","Tending toward horizontal",7,3.5,2.4,1.2,4,2,6.4,3.2,1,41.2
"TMe-2191","TMe-2191","Green purple","Medium","Green purple","Central part","50-75% leaf retention","0","Cream","1","450-600","Dark green","Dark green","5","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",6,1.5,1.8,0.45,1.4,0.35,3.2,0.8,3,39.5
"TMe-2196","TMe-2196","Green purple","Medium","Light green","Absent","50-75% leaf retention","2","Cream","2","450-600","Green purple","Dark green","4","Medium (15-20cm)","Short","Present","Irregular",16,5.33333333333333,11.4,3.8,22.8,7.6,34.2,11.4,0,35.9
"TMe-2240","TMe-2240","Purple","Medium","Purple","Totally pigmented","<100% leaf retention","0","White","1","150-300","Green purple","Green purple","3","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",9,3,2.6,0.866666666666667,1.2,0.4,3.8,1.26666666666667,5,32.5
"TMe-2372","TMe-2372","Purple","Medium","Green purple","Central part","<100% leaf retention","0","White","1","150-300","Purple","Green purple","5","Long (25-30cm)","Short","Present","Irregular",18,3.6,5.2,1.04,11,2.2,16.2,3.24,4,38
"TMe-2643","TMe-2643","Green purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","5","450-600","Green purple","Dark green","3","Medium (15-20cm)","Short","Absent","Tending toward horizontal",3,3,0.6,0.6,1.4,1.4,2,2,3,31.5
"TMe-2785","TMe-2785","Purple","Short","Green purple","Central part","50-75% leaf retention","3","Yellow","5","150-300","Purple","Green purple","2","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",3,3,1,1,1.6,1.6,2.6,2.6,2,37
"TMe-2791","TMe-2791","Purple","Long","Green purple","Central part","<100% leaf retention","3","White","4","450-600","Green","Dark green","2","Medium (15-20cm)","Absent","Present","Irregular",9,3,1.8,0.6,2.4,0.8,4.2,1.4,6,38.6
"TMe-2797","TMe-2797","Green purple","Medium","Green purple","Central part","50-75% leaf retention","0","Cream","0","No branching","Dark green","Green purple","4","Medium (15-20cm)","Intermediate","Present","Irregular",9,3,1.2,0.4,1.8,0.6,3,1,5,40.7
"TMe-2820","TMe-2820","Green purple","Long","Green purple","Top and bottom","50-75% leaf retention","1","White","2","450-600","Dark green","Dark green","3","Medium (15-20cm)","Absent","Present","Tending toward horizontal",4,2,1.2,0.6,3,1.5,4.2,2.1,1,38.5
"TMe-2853","TMe-2853","Purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","6","750-900","Purple","Dark green","2","Medium (15-20cm)","Long","Present","Irregular",13,6.5,27,13.5,6.6,3.3,33.6,16.8,4,33.3
"TMe-2967","TMe-2967","Green purple","Long","Light green","Absent","<100% leaf retention","4","White","5","450-600","Purple","Light green","1","Medium (15-20cm)","Absent","Present","Tending toward horizontal",7,3.5,17.4,8.7,18.4,9.2,35.8,17.9,0,34.9
"TMe-2980","TMe-2980","Purple","Long","Purple","Totally pigmented","50-75% leaf retention","5","Cream","2","150-300","Purple","Green purple","3","Long (25-30cm)","Intermediate","Present","Irregular",16,5.33333333333333,7.2,2.4,5,1.66666666666667,12.2,4.06666666666667,3,36.8
"TMe-3110","TMe-3110","Green purple","Short","Green purple","Central part","25-50% leaf retention","3","Cream","3","150-300","Green purple","Green purple","3","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",1,0.25,2.4,0.6,0.6,0.15,3,0.75,0,45
"TMe-3141","TMe-3141","Dark green","Medium","Light green","Absent","25-50% leaf retention","0","White","0","No branching","Green","Green purple","4","Medium (15-20cm)","Short","Absent","Tending toward horizontal",7,2.33333333333333,6.8,2.26666666666667,2,0.666666666666667,8.8,2.93333333333333,4,36.8
"TMe-3151","TMe-3151","Dark green","Short","Green purple","Top part","<100% leaf retention","0","Cream","1","150-300","Dark green","Green purple","1","Medium (15-20cm)","Intermediate","Absent","Tending toward horizontal",5,5,4.1,4.1,0.8,0.8,4.9,4.9,1,37.3
"TMe-3185","TMe-3185","Light green","Short","Green purple","Central part","50-75% leaf retention","3","Cream","3","450-600","Green","Light green","1","Long (25-30cm)","Short","Present","Irregular",9,9,6.2,6.2,4,4,10.2,10.2,2,36.3
"TMe-3233","TMe-3233","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","3","Cream","3","150-300","Dark green","Green purple","1","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",3,3,1,1,3.2,3.2,4.2,4.2,0,40.1
"TMe-3262","TMe-3262","Dark green","Medium","Green purple","Central part","25-50% leaf retention","4","Cream","3","150-300","Green purple","Green","1","Long (25-30cm)","Short","Absent","Tending toward horizontal",4,2,1,0.5,3.6,1.8,4.6,2.3,0,42.9
"TMe-3302","TMe-3302","Green purple","Short","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Dark green","Green purple","1","Medium (15-20cm)","Intermediate","Absent","Tending toward horizontal",4,4,1.8,1.8,0.4,0.4,2.2,2.2,0,30.4
"TMe-3452","TMe-3452","Green purple","Short","Green purple","Central part","50-75% leaf retention","4","White","5","450-600","Green purple","Green purple","3","Long (25-30cm)","Intermediate","Absent","Irregular",5,2.5,3,1.5,0.8,0.4,3.8,1.9,0,34.4
"TMe-3455","TMe-3455","Purple","Long","Green purple","Central part","25-50% leaf retention","0","White","0","No branching","Green purple","Green purple","3","Long (25-30cm)","Short","Absent","Tending toward horizontal",3,1.5,2,1,0.4,0.2,2.4,1.2,2,36.2
"TMe-3466","TMe-3466","Dark green","Short","Dark green","Absent","25-50% leaf retention","2","White","0","No branching","Green purple","Light green","2","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",4,2,1.3,0.65,0.9,0.45,2.2,1.1,0,38.5
"TMe-3481","TMe-3481","Dark green","Long","Green purple","Central part","50-75% leaf retention","3","Yellow","2","150-300","Dark green","Light green","1","Medium (15-20cm)","Short","Present","Tending toward horizontal",3,3,3.2,3.2,2.8,2.8,6,6,0,30.9
"TMe-3545","TMe-3545","Purple","Long","Purple","Totally pigmented","50-75% leaf retention","3","White","2","150-300","Purple","Purple","5","Medium (15-20cm)","Intermediate","Absent","Tending toward horizontal",5,5,6,6,4,4,10,10,1,39.4
"TMe-3605","TMe-3605","Green purple","Short","Green purple","Central part","<25% leaf retention","0","White","0","No branching","Dark green","Green purple","3","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",1,1,6,6,22,22,28,28,0,40.2
"TMe-3731","TMe-3731","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","0","Cream","0","No branching","Green purple","Green purple","5","Long (25-30cm)","Short","Present","Tending toward horizontal",10,2.5,3,0.75,3,0.75,6,1.5,3,36
"TMe-38","TMe-38","Light green","Short","Purple","Totally pigmented","50-75% leaf retention","1","Cream","1","450-600","Dark green","Green purple","4","Long (25-30cm)","Intermediate","Present","Irregular",8,4,1.8,0.9,0.6,0.3,2.4,1.2,1,41.4
"TMe-66","TMe-66","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","1","Cream","3","150-300","Dark green","Green purple","3","Long (25-30cm)","Short","Absent","Tending toward horizontal",16,5.33333333333333,13.4,4.46666666666667,11.8,3.93333333333333,25.2,8.4,3,29.8
"TMe-72","TMe-72","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","2","White","3","450-600","Green","Green purple","3","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",8,2.66666666666667,2.8,0.933333333333333,1.8,0.6,4.6,1.53333333333333,1,38.4
"TMe-180","TMe-180","Green purple","Long","Red","Totally pigmented","50-75% leaf retention","3","White","4","450-600","Purple","Green purple","4","Long (25-30cm)","Short","Present","Irregular",14,3.5,4,1,18.2,4.55,22.2,5.55,2,40.2
"TMe-181","TMe-181","Green purple","Medium","Green purple","Central part","<25% leaf retention","3","Cream","3","450-600","Green purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",17,4.25,2.6,0.65,3.2,0.8,5.8,1.45,1,34
"TMe-241","TMe-241","Dark green","Long","Dark green","Absent","25-50% leaf retention","1","Cream","1","150-300","Dark green","Dark green","4","Long (25-30cm)","Intermediate","Present","Irregular",2,0.5,1.4,0.35,1.2,0.3,2.6,0.65,0,39.3
"TMe-247","TMe-247","Green purple","Long","Green purple","Top part","25-50% leaf retention","2","Cream","3","450-600","Purple","Dark green","4","Long (25-30cm)","Absent","Absent","Irregular",6,6,3.4,3.4,6.8,6.8,10.2,10.2,1,31.4
"TMe-264","TMe-264","Green purple","Medium","Green purple","Central part","25-50% leaf retention","1","White","2","150-300","Green purple","Dark green","1","Medium (15-20cm)","Intermediate","Present","Irregular",4,4,0.4,0.4,1,1,1.4,1.4,1,48
"TMe-287","TMe-287","Purple","Long","Green purple","Central part","50-75% leaf retention","4","Cream","4","450-600","Green purple","Green purple","4","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",7,2.33333333333333,3.4,1.13333333333333,4.2,1.4,7.6,2.53333333333333,5,44
"TMe-486","TMe-486","Green purple","Medium","Green purple","Central part","25-50% leaf retention","1","Cream","1","450-600","Green purple","Green purple","2","Long (25-30cm)","Short","Present","Tending toward horizontal",11,3.66666666666667,3,1,6.4,2.13333333333333,9.4,3.13333333333333,4,43.6
