"","Accession name","CUAL","LNGS","PTLC","DSTA","LFRT","LBTEF","CBTR","NMLB","ANGB","CUAL9M","LVC9M","TNPR9M","PL9M","STRP","STRC","PSTR","NMSR","TTRN","TFWSR","TTRW","TFWSS","TTSW","TTPW","AVPW","ARSR","SRDM"
"TMe-634","TMe-634","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","3","Cream","3","450-600","Purple","Green purple","3","Medium (15-20cm)","Absent","Present","Tending toward horizontal",10,5,6.4,3.2,12,6,18.4,9.2,1,39.1
"TMe-696","TMe-696","Green purple","Medium","Dark green","Absent","25-50% leaf retention","3","Cream","4","750-900","Green","Dark green","5","Medium (15-20cm)","Short","Present","Tending toward horizontal",12,2.4,5,1,4,0.8,9,1.8,7,38.5
"TMe-698","TMe-698","Purple","Long","Purple","Totally pigmented","50-75% leaf retention","4","White","6","450-600","Green purple","Dark green","2","Long (25-30cm)","Short","Present","Tending toward horizontal",6,6,4,4,7,7,11,11,0,40.4
"TMe-700","TMe-700","Green purple","Medium","Green purple","Central part","50-75% leaf retention","3","White","4","450-600","Green purple","Green purple","4","Long (25-30cm)","Absent","Absent","Irregular",18,9,7,3.5,17,8.5,24,12,1,34.5
"TMe-706","TMe-706","Green purple","Medium","Green purple","Central part","25-50% leaf retention","0","Cream","0","No branching","Purple","Dark green","2","Long (25-30cm)","Absent","Present","Irregular",3,3,0.6,0.6,1,1,1.6,1.6,0,31.5
"TMe-764","TMe-764","Green purple","Long","Green purple","Top and bottom","50-75% leaf retention","2","Cream","4","450-600","Green purple","Dark green","5","Long (25-30cm)","Absent","Absent","Irregular",15,3.75,7.2,1.8,10,2.5,17.2,4.3,0,29
"TMe-835","TMe-835","Green purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Long (25-30cm)","Short","Absent","Irregular",28,5.6,15.2,3.04,20,4,35.2,7.04,0,37.3
"TMe-858","TMe-858","Green purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","4","450-600","Purple","Dark green","2","Medium (15-20cm)","Short","Absent","Tending toward horizontal",9,4.5,6.2,3.1,8.4,4.2,14.6,7.3,0,38.2
"TMe-886","TMe-886","Green purple","Long","Green purple","Top part","25-50% leaf retention","3","Cream","4","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Present","Irregular",28,5.6,10.2,2.04,15.4,3.08,25.6,5.12,2,39.5
"TMe-888","TMe-888","Green purple","Medium","Green purple","Central part","50-75% leaf retention","2","Cream","3","450-600","Dark green","Light green","2","Long (25-30cm)","Intermediate","Absent","Irregular",5,5,1.2,1.2,3.4,3.4,4.6,4.6,0,34.9
"TMe-1086","TMe-1086","Green purple","Medium","Green purple","Central part","25-50% leaf retention","2","Cream","2","450-600","Purple","Green purple","5","Long (25-30cm)","Absent","Present","Irregular",10,3.33333333333333,7.8,2.6,10,3.33333333333333,17.8,5.93333333333333,0,38.5
"TMe-1091","TMe-1091","Green purple","Medium","Green purple","Central part","50-75% leaf retention","2","Cream","4","150-300","Dark green","Dark green","5","Medium (15-20cm)","Absent","Present","Tending toward horizontal",4,2,12,6,6,3,18,9,0,38.9
"TMe-1117","TMe-1117","Green purple","Medium","Green purple","Central part","50-75% leaf retention","1","Cream","2","150-300","Purple","Dark green","4","Long (25-30cm)","Absent","Present","Tending toward horizontal",5,1.66666666666667,2.8,0.933333333333333,3,1,5.8,1.93333333333333,0,45
"TMe-1124","TMe-1124","Dark green","Medium","Dark green","Absent","50-75% leaf retention","3","Cream","5","450-600","Light green","Dark green","5","Medium (15-20cm)","Absent","Absent","Irregular",20,4,16.2,3.24,18.6,3.72,34.8,6.96,0,37.2
"TMe-1139","TMe-1139","Dark green","Medium","Purple","Totally pigmented","25-50% leaf retention","2","Cream","2","450-600","Dark green","Green purple","4","Medium (15-20cm)","Intermediate","Absent","Tending toward horizontal",10,2.5,5.2,1.3,5.6,1.4,10.8,2.7,0,37.8
"TMe-1174","TMe-1174","Dark green","Medium","Green purple","Central part","25-50% leaf retention","3","White","7","450-600","Light green","Green purple","4","Medium (15-20cm)","Long","Present","Irregular",2,0.666666666666667,5,1.66666666666667,1.6,0.533333333333333,6.6,2.2,0,38.2
"TMe-1188","TMe-1188","Green purple","Long","Green purple","Central part","50-75% leaf retention","2","Cream","4","450-600","Purple","Dark green","3","Long (25-30cm)","Absent","Absent","Tending toward horizontal",6,3,2.8,1.4,4.2,2.1,7,3.5,1,48.1
"TMe-1211","TMe-1211","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","1","Cream","2","150-300","Dark green","Green purple","5","Long (25-30cm)","Short","Present","Irregular",13,2.6,4.6,0.92,6,1.2,10.6,2.12,0,38.5
"TMe-1216","TMe-1216","Green purple","Medium","Green purple","Central part","25-50% leaf retention","3","Cream","5","450-600","Dark green","Green purple","5","Medium (15-20cm)","Intermediate","Absent","Irregular",3,1,7.2,2.4,8.2,2.73333333333333,15.4,5.13333333333333,0,44.6
"TMe-1232","TMe-1232","Green purple","Long","Dark green","Absent","50-75% leaf retention","2","Cream","5","750-900","Dark green","Dark green","5","Medium (15-20cm)","Intermediate","Absent","Tending toward horizontal",5,1.25,2.2,0.55,3,0.75,5.2,1.3,3,41.2
"TMe-1234","TMe-1234","Purple","Long","Green purple","Central part","50-75% leaf retention","1","Cream","2","450-600","Purple","Dark green","5","Long (25-30cm)","Absent","Present","Irregular",19,4.75,5.4,1.35,7.6,1.9,13,3.25,0,37.4
"TMe-1271","TMe-1271","Purple","Medium","Green purple","Central part","50-75% leaf retention","0","White","0","No branching","Dark green","Dark green","2","Long (25-30cm)","Short","Present","Tending toward horizontal",3,3,3.2,3.2,2.4,2.4,5.6,5.6,0,43.5
"TMe-1290","TMe-1290","Green purple","Long","Green purple","Central part","25-50% leaf retention","2","Cream","3","450-600","Green purple","Dark green","4","Medium (15-20cm)","Absent","Present","Tending toward horizontal",4,2,2.6,1.3,4.4,2.2,7,3.5,0,34.8
"TMe-1336","TMe-1336","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","3","Cream","4","450-600","Green purple","Green purple","3","Medium (15-20cm)","Short","Present","Tending toward horizontal",11,5.5,2,1,5.2,2.6,7.2,3.6,0,43.7
"TMe-1377","TMe-1377","Purple","Medium","Purple","Totally pigmented","50-75% leaf retention","4","Cream","4","450-600","Purple","Green purple","5","Medium (15-20cm)","Absent","Present","Irregular",20,4,7.8,1.56,8.4,1.68,16.2,3.24,1,41.4
"TMe-1512","TMe-1512","Dark green","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","4","450-600","Green purple","Dark green","5","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",25,6.25,6.2,1.55,14.8,3.7,21,5.25,3,39.8
"TMe-1541","TMe-1541","Purple","Long","Green purple","Top part","50-75% leaf retention","2","Cream","3","450-600","Purple","Green purple","5","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",13,4.33333333333333,3.8,1.26666666666667,9,3,12.8,4.26666666666667,0,39.2
"TMe-1733","TMe-1733","Purple","Medium","Green purple","Central part","25-50% leaf retention","2","Cream","3","450-600","Purple","Dark green","5","Medium (15-20cm)","Short","Present","Irregular",23,7.66666666666667,4.4,1.46666666666667,10,3.33333333333333,14.4,4.8,3,41.9
"TMe-1744","TMe-1744","Green purple","Medium","Light green","Absent","25-50% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Long (25-30cm)","Intermediate","Present","Irregular",14,2.8,7,1.4,11,2.2,18,3.6,2,42.4
"TMe-2003","TMe-2003","Purple","Medium","Green purple","Top part","25-50% leaf retention","2","White","2","450-600","Dark green","Dark green","5","Long (25-30cm)","Absent","Absent","Tending toward horizontal",12,2.4,2.8,0.56,3.6,0.72,6.4,1.28,5,43.4
"TMe-2326","TMe-2326","Purple","Long","Green purple","Central part","25-50% leaf retention","3","Cream","3","450-600","Purple","Dark green","4","Long (25-30cm)","Short","Present","Tending toward horizontal",11,3.66666666666667,3.4,1.13333333333333,6.2,2.06666666666667,9.6,3.2,2,29.7
"TMe-2543","TMe-2543","Dark green","Medium","Green purple","Central part","50-75% leaf retention","2","White","3","150-300","Dark green","Dark green","3","Medium (15-20cm)","Short","Present","Irregular",10,3.33333333333333,2.6,0.866666666666667,5.4,1.8,8,2.66666666666667,2,40
"TMe-2568","TMe-2568","Purple","Long","Green purple","Top part","50-75% leaf retention","1","White","0","No branching","Purple","Green purple","1","Long (25-30cm)","Short","Present","Tending toward horizontal",3,3,3,3,6.4,6.4,9.4,9.4,0,34.9
"TMe-2775","TMe-2775","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","2","White","1","450-600","Dark green","Green purple","5","Medium (15-20cm)","Short","Present","Irregular",10,2,3.4,0.68,8.4,1.68,11.8,2.36,3,40.8
"TMe-2904","TMe-2904","Green purple","Long","Green purple","Central part","50-75% leaf retention","2","White","2","450-600","Purple","Green purple","2","Long (25-30cm)","Absent","Present","Tending toward horizontal",6,3,4.2,2.1,7,3.5,11.2,5.6,8,38
"TMe-2913","TMe-2913","Green purple","Long","Green purple","Central part","50-75% leaf retention","4","Yellow","3","450-600","Green purple","Green purple","3","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",10,5,14.8,7.4,11.7,5.85,26.5,13.25,1,30.6
"TMe-2934","TMe-2934","Green purple","Short","Green purple","Top part","25-50% leaf retention","4","White","3","450-600","Dark green","Light green","3","Long (25-30cm)","Long","Present","Tending toward horizontal",15,5,10.8,3.6,5.4,1.8,16.2,5.4,4,40.7
"TMe-2952","TMe-2952","Dark green","Short","Green purple","Central part","<100% leaf retention","0","White","0","No branching","Green purple","Green purple","3","Medium (15-20cm)","Short","Present","Irregular",10,10,7.4,7.4,6.2,6.2,13.6,13.6,0,39.6
"TMe-2975","TMe-2975","Dark green","Long","Green purple","Central part","25-50% leaf retention","1","White","1","150-300","Green","Light green","2","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",7,3.5,5.8,2.9,4.8,2.4,10.6,5.3,0,40.2
"TMe-2984","TMe-2984","Purple","Long","Green purple","Central part","25-50% leaf retention","4","White","2","450-600","Purple","Green purple","1","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",12,12,3.6,3.6,9.8,9.8,13.4,13.4,1,38.2
"TMe-2989","TMe-2989","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","3","White","3","150-300","Green purple","Green purple","4","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",16,4,4.8,1.2,6.2,1.55,11,2.75,4,41
"TMe-2993","TMe-2993","Dark green","Long","Dark green","Absent","25-50% leaf retention","4","Cream","4","450-600","Green purple","Dark green","1","Long (25-30cm)","Short","Present","Tending toward horizontal",7,7,6.2,6.2,3.2,3.2,9.4,9.4,3,37.8
"TMe-3076","TMe-3076","Purple","Medium","Green purple","Central part","25-50% leaf retention","3","White","2","150-300","Green purple","Green purple","4","Medium (15-20cm)","Short","Absent","Tending toward horizontal",28,7,12.8,3.2,16.4,4.1,29.2,7.3,8,35.6
"TMe-3109","TMe-3109","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","3","White","3","150-300","Purple","Green purple","2","Medium (15-20cm)","Short","Present","Irregular",6,6,0.4,0.4,1.4,1.4,1.8,1.8,2,36.6
"TMe-3115","TMe-3115","Green purple","Long","Light green","Absent","50-75% leaf retention","3","White","3","450-600","Dark green","Light green","4","Medium (15-20cm)","Short","Absent","Tending toward horizontal",17,4.25,13.8,3.45,13,3.25,26.8,6.7,3,35.8
"TMe-3163","TMe-3163","Green purple","Long","Green purple","Central part","50-75% leaf retention","2","White","3","150-300","Green purple","Green purple","4","Long (25-30cm)","Short","Absent","Tending toward horizontal",7,7,20.2,20.2,12.8,12.8,33,33,1,36.4
"TMe-3164","TMe-3164","Green purple","Long","Green purple","Central part","50-75% leaf retention","2","White","1","150-300","Dark green","Dark green","2","Long (25-30cm)","Intermediate","Absent","Tending toward horizontal",12,6,3.2,1.6,3.8,1.9,7,3.5,5,38.5
"TMe-3210","TMe-3210","Green purple","Long","Green purple","Top and bottom","50-75% leaf retention","1","Cream","0","No branching","Purple","Green purple","2","Medium (15-20cm)","Intermediate","Absent","Tending toward horizontal",1,1,1.2,1.2,1.2,1.2,2.4,2.4,0,33.4
"TMe-3252","TMe-3252","Green purple","Long","Dark green","Absent","50-75% leaf retention","4","White","3","150-300","Green purple","Green purple","5","Long (25-30cm)","Short","Present","Tending toward horizontal",24,4.8,10.2,2.04,10.2,2.04,20.4,4.08,6,35.7
"TMe-3276","TMe-3276","Green purple","Long","Red","Totally pigmented","25-50% leaf retention","4","Cream","3","150-300","Green purple","Green purple","5","Long (25-30cm)","Intermediate","Absent","Irregular",6,2,4,1.33333333333333,1.8,0.6,5.8,1.93333333333333,0,36.1
"TMe-3292","TMe-3292","Purple","Long","Green purple","Top and bottom","50-75% leaf retention","4","White","0","No branching","Purple","Green purple","4","Long (25-30cm)","Absent","Present","Tending toward horizontal",19,6.33333333333333,31.2,10.4,24.6,8.2,55.8,18.6,1,37.4
"TMe-3296","TMe-3296","Purple","Medium","Green purple","Central part","25-50% leaf retention","3","White","3","450-600","Dark green","Green purple","3","Medium (15-20cm)","Intermediate","Absent","Tending toward horizontal",6,2,1.2,0.4,0.4,0.133333333333333,1.6,0.533333333333333,4,34.4
"TMe-3324","TMe-3324","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","0","White","0","No branching","Dark green","Green purple","2","Long (25-30cm)","Short","Absent","Tending toward horizontal",3,3,1,1,0.8,0.8,1.8,1.8,1,32.1
"TMe-3378","TMe-3378","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","2","Cream","2","150-300","Green purple","Green purple","4","Long (25-30cm)","Long","Present","Tending toward horizontal",4,2,4.6,2.3,4,2,8.6,4.3,0,36.5
"TMe-3411","TMe-3411","Purple","Long","Green purple","Central part","<100% leaf retention","1","Cream","1","150-300","Purple","Green purple","3","Long (25-30cm)","Absent","Absent","Tending toward horizontal",9,4.5,3,1.5,4.2,2.1,7.2,3.6,4,37.2
"TMe-3415","TMe-3415","Green purple","Short","Green purple","Top part","50-75% leaf retention","4","Cream","3","150-300","Green purple","Green purple","4","Medium (15-20cm)","Short","Present","Irregular",55,13.75,8.4,2.1,17,4.25,25.4,6.35,1,41.8
"TMe-3424","TMe-3424","Green purple","Long","Green purple","Central part","50-75% leaf retention","4","White","3","450-600","Green purple","Light green","5","Medium (15-20cm)","Intermediate","Present","Irregular",12,3,7.8,1.95,14.4,3.6,22.2,5.55,4,37.9
"TMe-3434","TMe-3434","Dark green","Long","Purple","Totally pigmented","50-75% leaf retention","1","White","1","150-300","Dark green","Green purple","5","Long (25-30cm)","Short","Present","Tending toward horizontal",18,4.5,1,0.25,0.8,0.2,1.8,0.45,4,36.2
"TMe-3437","TMe-3437","Dark green","Short","Light green","Absent","50-75% leaf retention","3","Cream","2","150-300","Green purple","Dark green","2","Long (25-30cm)","Intermediate","Absent","Tending toward horizontal",5,1.25,0.8,0.2,0.4,0.1,1.2,0.3,0,37.5
"TMe-3454","TMe-3454","Dark green","Long","Purple","Totally pigmented","50-75% leaf retention","2","White","3","150-300","Dark green","Green purple","4","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",12,3,2.8,0.7,5.4,1.35,8.2,2.05,0,38
"TMe-3457","TMe-3457","Green purple","Short","Green purple","Central part","50-75% leaf retention","2","White","2","450-600","Dark green","Dark green","5","Long (25-30cm)","Short","Present","Irregular",20,6.66666666666667,7,2.33333333333333,4,1.33333333333333,11,3.66666666666667,6,43.6
"TMe-3460","TMe-3460","Dark green","Medium","Green purple","Central part","25-50% leaf retention","2","White","3","150-300","Green purple","Green purple","3","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",13,4.33333333333333,8.9,2.96666666666667,18.2,6.06666666666667,27.1,9.03333333333333,3,38.1
"TMe-3475","TMe-3475","Dark green","Short","Light green","Absent","50-75% leaf retention","4","White","3","150-300","Dark green","Light green","4","Long (25-30cm)","Intermediate","Present","Irregular",14,4.66666666666667,16.2,5.4,15.1,5.03333333333333,31.3,10.4333333333333,2,39.6
"TMe-3548","TMe-3548","Green purple","Long","Green purple","Central part","25-50% leaf retention","3","Cream","1","150-300","Dark green","Green purple","4","Long (25-30cm)","Short","Absent","Tending toward horizontal",5,1.25,1.6,0.4,1,0.25,2.6,0.65,2,34.3
"TMe-3577","TMe-3577","Green purple","Short","Green purple","Central part","50-75% leaf retention","2","White","3","450-600","Dark green","Green purple","1","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",8,4,2.4,1.2,3.4,1.7,5.8,2.9,1,40.3
"TMe-3591","TMe-3591","Purple","Short","Purple","Totally pigmented","25-50% leaf retention","2","White","3","150-300","Green purple","Green purple","1","Long (25-30cm)","Intermediate","Absent","Tending toward horizontal",2,2,0.8,0.8,1.6,1.6,2.4,2.4,0,39.2
"TMe-3628","TMe-3628","Purple","Long","Green purple","Central part","<100% leaf retention","4","Cream","5","450-600","Purple","Green purple","2","Long (25-30cm)","Short","Present","Irregular",10,5,10.2,5.1,27.2,13.6,37.4,18.7,0,21.9
"TMe-3638","TMe-3638","Light green","Short","Purple","Totally pigmented","25-50% leaf retention","0","Cream","0","No branching","Dark green","Green purple","3","Long (25-30cm)","Absent","Absent","Tending toward horizontal",10,3.33333333333333,2.6,0.866666666666667,5,1.66666666666667,7.6,2.53333333333333,2,43
"TMe-3690","TMe-3690","Light green","Short","Green purple","Central part","<100% leaf retention","0","Cream","0","No branching","Green","Light green","1","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",2,2,2,2,1.4,1.4,3.4,3.4,0,36.2
"TMe-3721","TMe-3721","Purple","Long","Purple","Totally pigmented","50-75% leaf retention","0","Cream","0","No branching","Purple","Purple","2","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",2,2,1.2,1.2,1,1,2.2,2.2,0,34.6
"TMe-3730","TMe-3730","Light green","Medium","Purple","Totally pigmented","25-50% leaf retention","2","White","2","150-300","Green","Green purple","1","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",3,3,11,11,10,10,21,21,0,37.3
"TMe-3736","TMe-3736","Purple","Long","Green purple","Top part","50-75% leaf retention","4","White","3","450-600","Purple","Green","1","Long (25-30cm)","Absent","Absent","Tending toward horizontal",5,5,12,12,12.3,12.3,24.3,24.3,0,32.2
"TMe-2935","TMe-2935","Dark green","Long","Green purple","Central part","50-75% leaf retention","0","White","0","No branching","Dark green","Green purple","5","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",10,2,5.8,1.16,5,1,10.8,2.16,3,38.3
"TMe-2940","TMe-2940","Green purple","Medium","Green purple","Central part","25-50% leaf retention","3","White","3","150-300","Purple","Dark green","5","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",34,6.8,15,3,24.8,4.96,39.8,7.96,3,33.5
"TMe-3044","TMe-3044","Green purple","Short","Purple","Totally pigmented","50-75% leaf retention","1","White","3","150-300","Green purple","Green purple","5","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",13,3.25,8.4,2.1,4.6,1.15,13,3.25,3,43.8
"TMe-3329","TMe-3329","Green purple","Long","Green purple","Top part","50-75% leaf retention","4","White","3","450-600","Purple","Dark green","3","Medium (15-20cm)","Absent","Present","Irregular",11,11,5.8,5.8,6.8,6.8,12.6,12.6,3,33.7
"TMe-3396","TMe-3396","Green purple","Long","Light green","Absent","50-75% leaf retention","4","Cream","4","450-600","Green purple","Green","5","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",29,7.25,15,3.75,15.6,3.9,30.6,7.65,1,41
"TMe-3493","TMe-3493","Green purple","Long","Green purple","Central part","25-50% leaf retention","5","White","3","150-300","Green purple","Light green","2","Medium (15-20cm)","Short","Present","Tending toward horizontal",7,2.33333333333333,14,4.66666666666667,7,2.33333333333333,21,7,3,39.3
"TMe-3549","TMe-3549","Dark green","Short","Light green","Absent","25-50% leaf retention","4","Cream","3","150-300","Dark green","Light green","3","Medium (15-20cm)","Short","Absent","Tending toward horizontal",14,4.66666666666667,6,2,2.4,0.8,8.4,2.8,1,35.5
"TMe-3573","TMe-3573","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","4","Cream","3","450-600","Green purple","Green purple","4","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",14,4.66666666666667,20.6,6.86666666666667,31,10.3333333333333,51.6,17.2,2,33.4
"TMe-3601","TMe-3601","Purple","Long","Green purple","Top part","25-50% leaf retention","3","White","3","450-600","Green purple","Green purple","5","Medium (15-20cm)","Absent","Present","Tending toward horizontal",20,5,19.4,4.85,14.8,3.7,34.2,8.55,3,43.5
"TMe-3667","TMe-3667","Purple","Long","Green purple","Top part","50-75% leaf retention","4","White","4","450-600","Green purple","Green purple","5","Long (25-30cm)","Short","Present","Irregular",30,10,23.4,7.8,28.2,9.4,51.6,17.2,0,39.7
"TMe-2551","TMe-2551","Green purple","Medium","Green purple","Top part","50-75% leaf retention","3","Cream","5","750-900","Dark green","Dark green","1","Medium (15-20cm)","Absent","Present","Irregular",8,8,5.8,5.8,6,6,11.8,11.8,0,37
"TMe-3581","TMe-3581","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","2","White","3","150-300","Dark green","Green purple","5","Long (25-30cm)","Short","Absent","Tending toward horizontal",14,3.5,19.8,4.95,24,6,43.8,10.95,1,43.9
